Source,Target,Weight,Service
oikos_api_crud,administrativa_mid_api,3,dependencia
oikos_api_crud,arka_mid,1,dependencia
oikos_api_crud,cumplidos_mid,3,dependencia
oikos_api_crud,planeacion_mid,2,dependencia
oikos_api_crud,resoluciones_docentes_mid,3,dependencia
oikos_api_crud,resoluciones_mid_v2,3,dependencia
oikos_api_crud,sga_mid,3,dependencia
oikos_api_crud,terceros_mid,2,dependencia
oikos_api_crud,alternancia_mid,4,espacio_fisico
oikos_api_crud,arka_mid,2,espacio_fisico
oikos_api_crud,alternancia_mid,2,espacio_fisico_padre
oikos_api_crud,arka_mid,3,asignacion_espacio_fisico_dependencia
oikos_api_crud,terceros_mid,2,asignacion_espacio_fisico_dependencia
oikos_api_crud,planeacion_mid,2,dependencia_tipo_dependencia
oikos_api_crud,sga_mid,2,dependencia_tipo_dependencia
oikos_api_crud,alternancia_mid,2,espacio_fisico_campo
core_crud,sga_mid,1,unidad_tiempo
core_crud,sga_mid,1,unidad_tiempo
administrativa_jbpm,administrativa_mid_api,5,default
administrativa_jbpm,arka_mid,3,default
administrativa_jbpm,cumplidos_mid,5,default
administrativa_jbpm,evaluacion_mid,2,default
administrativa_jbpm,novedades_mid,2,default
administrativa_jbpm,seguridad_social_mid,2,default
documentos_crud,gestor_documental_mid,4,documento
documentos_crud,sga_mid,1,documento
documentos_crud,gestor_documental_mid,1,tipo_documento
sesiones_crud,sga_mid,1,tipo_publico
sesiones_crud,sga_mid,2,tipo_evento
sesiones_crud,sga_mid,4,tr_evento
sesiones_crud,sga_mid,5,calendario_evento
sesiones_crud,sga_mid,6,calendario
sesiones_crud,sga_mid,2,calendario_evento_tipo_publico
titan_api_crud,titan_mid_api,17,contrato_preliquidacion
titan_api_crud,seguridad_social_mid,2,concepto_nomina
titan_api_crud,titan_mid_api,2,concepto_nomina
titan_api_crud,seguridad_social_mid,5,detalle_preliquidacion
titan_api_crud,titan_mid_api,17,detalle_preliquidacion
titan_api_crud,titan_mid_api,4,preliquidacion
titan_api_crud,titan_mid_api,15,contrato
titan_api_crud,titan_mid_api,4,periodo
titan_api_mid,resoluciones_mid_v2,1,desagregado_hcs
