Name,Depreciada,Port,ServicesList,Test,Production,Authentication,Repository,ConnectionMap
oikos_api_crud,TRUE,8087,tipo_uso;dependencia;espacio_fisico;espacio_fisico_padre;tipo_uso_espacio_fisico;dependencia_padre;tipo_espacio_fisico;asignacion_espacio_fisico_dependencia;dependencia_tipo_dependencia;tipo_dependencia;campo;espacio_fisico_campo;proyecto_curricular,http://pruebasapi.intranetoas.udistrital.edu.co:8087/v2,http://api.intranetoas.udistrital.edu.co:8087/v1/,https://autenticacion.portaloas.udistrital.edu.co/apioas/oikos_crud_api/v2,https://github.com/udistrital/oikos_api,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=1480975774
core_crud,TRUE,8105,unidad_tiempo;tipo_dato_adicional;area_conocimiento;concepto_academico;nucleo_basico_conocimiento ;periodo;tipo_periodo ;grupo_investigacion;linea_investigacion;linea_investigacion_grupo_investigacion,http://pruebasapi2.intranetoas.udistrital.edu.co:8105/v1/,http://api2.intranetoas.udistrital.edu.co:8105/v1/,"https://autenticacion.portaloas.udistrital.edu.co/apioas/core_crud/v1
",https://github.com/udistrital/core_crud,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=1104481674
administrativa_jbpm,TRUE,8282 aws,default,http://busservicios.intranetoas.udistrital.edu.co:8282/wso2eiserver/services/administrativa_pruebas,http://busservicios.intranetoas.udistrital.edu.co:8282/wso2eiserver/services/administrativa_produccion,https://autenticacion.portaloas.udistrital.edu.co/apioas/administrativa_jbpm/v1	,-,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=504575506
sga_mid,FALSE,8119,-,http://pruebasapi.intranetoas.udistrital.edu.co:8119/,http://api.intranetoas.udistrital.edu.co:8119/,https://autenticacion.portaloas.udistrital.edu.co/apioas/sga_mid/v1,https://github.com/udistrital/sga_mid,-
administrativa_mid_api,FALSE,8091,-,http://pruebasapi.intranetoas.udistrital.edu.co:8091/v1/,http://api.intranetoas.udistrital.edu.co:8091/v1,https://autenticacion.portaloas.udistrital.edu.co/apioas/administrativa_mid_api/v1,https://github.com/udistrital/administrativa_mid_api,-
arka_mid,FALSE,8099,-,http://pruebasapi.intranetoas.udistrital.edu.co:8099/,http://api.intranetoas.udistrital.edu.co:8099/,https://autenticacion.portaloas.udistrital.edu.co/apioas/arka_mid/v1,https://github.com/udistrital/arka_mid/,-
cumplidos_mid,FALSE,8513,-,http://pruebasapi2.intranetoas.udistrital.edu.co:8513/,http://api.intranetoas.udistrital.edu.co:8513/,https://autenticacion.portaloas.udistrital.edu.co/apioas/cumplidos_mid/v1/,https://github.com/udistrital/cumplidos_mid,-
planeacion_mid,FALSE,8524,-,http://pruebasapi2.intranetoas.udistrital.edu.co:8524/,http://api2.intranetoas.udistrital.edu.co:8524/,https://autenticacion.portaloas.udistrital.edu.co/apioas/planeacion_mid/v1,https://github.com/udistrital/planeacion_mid,-
resoluciones_docentes_mid,VERDADERO,8521,unidad_tiempo;tipo_dato_adicional;area_conocimiento;services;expedir_resolucion,http://pruebasapi2.intranetoas.udistrital.edu.co:8521/,http://api2.intranetoas.udistrital.edu.co:8521/,https://autenticacion.portaloas.udistrital.edu.co/apioas/resoluciones_docentes_mid/v1,https://github.com/udistrital/resoluciones_docentes_mid,https://docs.google.com/spreadsheets/d/14mORmhV7_eAZ8xB1XN02JPl_e6dieH6aWk6gwDB1BMo/edit#gid=765162548
resoluciones_mid_v2,FALSE,8529,-,http://pruebasapi2.intranetoas.udistrital.edu.co:8529/,http://api2.intranetoas.udistrital.edu.co:8529/,https://autenticacion.portaloas.udistrital.edu.co/apioas/resoluciones_docentes_mid/v2,https://github.com/udistrital/resoluciones_mid_v2,-
